Isr: Israeli Leumit League,Isr: Israeli Leumit League
Isr: Israeli Leumit Liga,Isr: Israeli Leumit Liga
Isr: Israeli Premier League,Isr: Israeli Premier League
Isthmian League,Isthmian League
Isthmian Premier League,Eng: Isthmian Premier League
Isthmian Premier league,Eng: Isthmian Premier league
Ita: Italy Serie A,Ita: Italian Serie A
Ita: Italy Serie A,Ita: Italian Serie A
Ita: Italy Serie B,Ita: Italian Serie B
Ita: Italy Serie B,Ita: Italian Serie B
Jap: Japan Emprerors Cup,Jap: Japanese Emperors Cup
Jap: Japanese Emprerors Cup,Jap: Japanese Emprerors Cup
Jap: Japanese J League,Jap: Japanese J League
Jap: Japanese J League,Jap: Japanese J League
Jap: Japanese J league,Jap: Japanese J league
Jap: Japanese League Cup,Jap: Japanese League Cup
League Cup,Eng: League Cup
League One,Eng: League One
League Two,Eng: League Two
Mex: Mexican Primera,Mex: Mexican Primera
Mex: Mexico Primera,Mex: Mexican Primera
NIFL Premier League,Nir: NIFL Premier League
National League North,Eng: National League North
National League South,Eng: National League South
National League,Eng: National League
Nor: North & Central America Leagues Cup,USA: North & Central America Leagues Cup
Nor: Norway NM Cup,Nor: Norwegian NM Cup
Nor: Norway NM Cup,Nor: Norwegian NM Cup
Nor: Norway OBOS-Ligaen,Nor: Norwegian OBOS-Ligaen
Nor: Norway Tippligaen,Nor: Norwegian Tippligaen
Nor: Norway Tippligaen,Nor: Norwegian Tippligaen
Nor: Norwegian Cup,Nor: Norwegian Cup
Nor: Norwegian Division One,Nor: Norwegian Division One
Nor: Norwegian Division One,Nor: Norwegian Division One
Nor: Norwegian Eliteserien,Nor: Norwegian Eliteserien
Nor: Norwegian Tippligaen,Nor: Norwegian Tippligaen
Northern Premier League,Eng: Northern Premier League
Par: Paraguay Cup Final,Par: Paraguay Cup Final
Pol: Poland Ekstraklasa,Pol: Polish Ekstraklasa
Pol: Poland Ekstrkalsa,Pol: Polish Ekstraklasa
Pol: Polish Cup,Pol: Polish Cup
Pol: Polish Ekstraklasa,Pol: Polish Ekstraklasa
Por: Portugal League Cup,Por: Portuguese League Cup
Por: Portugal League Cup,Por: Portuguese League Cup
Por: Portugal LigaPro,Por: Portuguese Liga Pro
Por: Portugal Ligapro,Por: Portuguese Ligapro
Por: Portugal Primera,Por: Portuguese Primera
Por: Portugal Segunda,Por: Portuguese Segunda
Premier League,Eng: Premier League
Qat: Qatar QSL,Qat: Qatar QSL
Qat: Qatar Stars League,Qat: Qatar Stars League
Qat: Qatar Starts League,Qat: Qatar Starts League
Rom: Romania Divizia A,Rom: Romanian Divizia A
Rom: Romanian Cup,Rom: Romanian Cup
Rom: Romanian Divizia A,Rom: Romanian Divizia A
Rom: Romanian Divizia,Rom: Romanian Divizia
Rus: Russian Cup,Rus: Russian Cup
Rus: Russian Premier League,Rus: Russian Premier League
Rus: Russian Premier League,Rus: Russian Premier League
Sau: Saudi Arabi Pro League,Sau: Saudi Arabian Pro League
Sau: Saudi Arabia Professional League,Sau: Saudi Arabia Professional League
Sau: Saudi Arabia Professional League,Sau: Saudi Arabia Professional League
Sau: Saudi Pro League,Sau: Saudi Pro League
Sau: Saudi Professional League,Sau: Saudi Professional League
Scottish Challenge Cup,Sco: Scottish Challenge Cup
Scottish Championship,Sco: Scottish Championship
Scottish Cup,Sco: Scottish Cup
Scottish FA Cup,Sco: Scottish FA Cup
Scottish League Cup,Sco: Scottish League Cup
Scottish League One,Sco: Scottish League One
Scottish League Two,Sco: Scottish League Two
Scottish Premier League,Sco: Scottish Premier League
Ser: Serbia Prva Liga,Ser: Serbian Prva Liga
Sin: Singapore Cup,Sin: Singapore Cup
Sin: Singapore S League,Sin: Singapore S League
Slo: Slovakia Fortuna Liga,Slo: Slovakian Fortuna Liga
Slo: Slovakia Super League,Slo: Slovakian Super League
Slo: Slovakia Super Liga,Slo: Slovakian Super Liga
Slo: Slovakian Cup,Slo: Slovakian Cup
Slo: Slovenian Cup,Slo: Slovenian Cup
Slo: Slovenian Cup,Slo: Slovenian Cup
Slo: Slovenian Prva Lig,Slo: Slovenian Prva Lig
Slo: Slovenian Prva Lig,Slo: Slovenian Prva Lig
Slo: Slovenian Prva Liga,Slo: Slovenian Prva Liga
Slo: Slovenian Prva,Slo: Slovenian Prva
Slo: Slovenian Prva,Slo: Slovenian Prva
Sou: South Africa Premier League,Saf: South African Premier League
Sou: South African Premier League,Saf: South African Premier League
Sou: South African Premier League,Saf: South African Premier League
Southern League Central,Eng: Southern League Central
Southern League South,Eng: Southern League South
Southern league South,Southern league South
Spa: Spanish Copa Del Rey,Spa: Spanish Copa Del Rey
Spa: Spanish La Liga,Spa: Spanish La Liga
Spa: Spanish La Liga,Spa: Spanish La Liga
Spa: Spanish Segunda,Spa: Spanish Segunda
Spa: Spanish Super Cup,Spa: Spanish Super Cup
Spa: Spanish Super Cup,Spa: Spanish Super Cup
Swe: Swedish Allsvenskan,Swe: Swedish Allsvenskan
Swe: Swedish Allsvenskan,Swe: Swedish Allsvenskan
Swe: Swedish Superettan,Swe: Swedish Superettan
Swe: Swedish Superettan,Swe: Swedish Superettan
Swe: Swedish Superettan,Swe: Swedish Superettan
Swi: Swiss Challenge League,Swi: Swiss Challenge League
Swi: Swiss Cup,Swi: Swiss Cup
Swi: Swiss Super League,Swi: Swiss Super League
Tac: Taco de Portugal,Por: Taco de Portugal
The FA Cup,Eng: FA Cup
The FA Trophy,Eng: FA Trophy
Tur: Turkey Super Lig,Tur: Turkish Super Lig
Tur: Turkey Super Lig,Tur: Turkish Super Lig
Tur: Turkish Cup,Tur: Turkish Cup
Tur: Turkish Super Lig,Tur: Turkish Super Lig
U19: U19 European Qualifying,Eur: U19 European Qualifying
U19: U19 European Qualifying,Eur: U19 European Qualifying
U21: U21 European Qualifying,Eur: U21 European Qualifying
U21: U21 European Qualifying,Eur: U21 European Qualifying
UAE: UAE Cup,UAE: UAE Cup
UAE: UAE Premier League,UAE: UAE Premier League
UAE: UAE Pro League,UAE: UAE Pro League
US : US Major League,USA: US Major League
US : US Open Cup Final,USA: US Open Cup Final
USA: USA - MLS,USA: USA - MLS
USA: USA MLS,USA: USA MLS
Ukr: Ukraine Premier League,Ukr: Ukrainian Premier League
Wel: Welsh Cup,Wal: Welsh Cup
Welsh FA Cup,Wal: Welsh FA Cup
Welsh League Cup,Wal: Welsh League Cup
Welsh Premier League,Wal: Welsh Premier League
Wom: Womens Euro 2020 Qualifying,Eur: Womens Euro 2020 Qualifying
Wom: Womens Euro 2020 Qualifying,Eur: Womens Euro 2020 Qualifying
Wom: Womens Euro 2020 Qualifying,Eur: Womens Euro 2020 Qualifying
Wom: Womens Euro 2021 Qualifying,Eur: Womens Euro 2021 Qualifying
Wom: Womens Euro 2021 Qualifying,Eur: Womens Euro 2021 Qualifying
Wom: Womens Euro 2021 Qualifying,Eur: Womens Euro 2021 Qualifying
Wom: Womens European 2021 Qualifying,Eur: Womens European 2021 Qualifying
Womens Super League,Eng: Womens Super League
Wor: World Club Semi Final,Int: World Club Semi Final
Wor: World Club Semi-Final,Int: World Club Semi-Final
Wor: World Cup Qualifiers - Africa,Int: World Cup Qualifiers - Africa
Wor: World Cup Qualifiers - Asia,Int: World Cup Qualifiers - Asia
YBC: YBC Levain Cup,Jap: YBC Levain Cup
